ключевое слово,перевод,Значение
if,если,условние
else,иначе,невыполненное условие
return,возврат,вывод функции
import,импортировать,подключить
while,пока,цикл пока
break,ломать,выход из цикла
True,правда,логическая истина
False,ложь,логическая ложь
