термин,перевод,пояснение
addend,слогаемое,2
plus,плюс,+
addend,слогаемое,2
equals,равно,=
sum,сумма,4
add,прибавлять,-
addition,сложение,-
subtraction,вычитание,-
minuend,уменьшаемое,5
minus,минус,-
subtrahend,вычитаемое,3
differce,разность,2
