Тип,Перевод,Значение
int(integer),целый,целые числа
float(floating point),плавающая точка,вещественные числа
double,двойной,в два раза > float
char(charectar),символ,символ
str(string),строка,набор символов
bool(boolean),логический тип, тру фолс
None,ничего,отсутсвие значения
